timestamp,datetime,open,high,low,close,volume_from,volume_to
1620604800,2021-05-10 00:00:00,305.29,312.06,306.88,307.52,11873.3,3651331.3
1620608400,2021-05-10 01:00:00,307.52,314.29,306.13,314,8348.28,2621360.72
1620612000,2021-05-10 02:00:00,314.13,315.81,310.37,314.68,3785.54,1185588.1
1620615600,2021-05-10 03:00:00,314.68,316.73,310.95,316.39,9806.39,3073120.71
1620619200,2021-05-10 04:00:00,316.35,317.19,312.1,315.36,6534.74,2060772.69
1620622800,2021-05-10 05:00:00,315.36,317.27,312.95,314.08,5152.04,1618139.11
1620626400,2021-05-10 06:00:00,314.08,315.5,312.79,313.91,7394.64,2321232.68
1620630000,2021-05-10 07:00:00,313.91,311.35,308.13,308.42,12091.33,3729260.09
1620633600,2021-05-10 08:00:00,308.42,312.29,308.02,310.94,11349.13,3528914.88
1620637200,2021-05-10 09:00:00,310.94,308.71,304.48,305.23,9358.1,2856394.53
1620640800,2021-05-10 10:00:00,305.33,307.63,302.52,304.17,5979.52,1837005.13
1620644400,2021-05-10 11:00:00,304.14,307.13,304.11,306.15,15798.31,4836581.22
1620648000,2021-05-10 12:00:00,306.15,306.97,302.93,306.85,9325.38,2861528.74
1620651600,2021-05-10 13:00:00,306.85,311.56,307.06,310.93,14722.55,4577667.42
1620655200,2021-05-10 14:00:00,310.93,309.58,304.33,305.87,19813.05,6060183.19
1620658800,2021-05-10 15:00:00,305.49,320.53,304.82,319.37,10986.29,3460779.97
1620662400,2021-05-10 16:00:00,319.37,329.55,317.5,317.8,12448.14,4006853.21
1620666000,2021-05-10 17:00:00,317.8,318.34,306.65,307.78,8302.76,2605704.28
1620669600,2021-05-10 18:00:00,307.78,309.5,303.54,306.09,6471.65,1982728.75
1620673200,2021-05-10 19:00:00,305.99,303.13,296.72,297.06,16287.94,4838423.53
1620676800,2021-05-10 20:00:00,297.22,297.22,268.58,283.62,37144.18,10276761.62
1620680400,2021-05-10 21:00:00,283.62,289.03,281.22,287.03,8227.53,2357621.52
1620684000,2021-05-10 22:00:00,287.03,290.61,282.35,290.13,8661.88,2487311.27
1620687600,2021-05-10 23:00:00,289.55,291.47,283.54,284.15,18975.99,5392119.99
1620691200,2021-05-11 00:00:00,283.98,286.47,276.57,276.57,6252.11,1767215.48
1620694800,2021-05-11 01:00:00,276.57,282.42,272.55,281.59,6388.64,1774670.06
1620698400,2021-05-11 02:00:00,281.59,283.62,272.16,272.86,5046.48,1402200.44
1620702000,2021-05-11 03:00:00,272.86,280.15,272.7,277.02,6330.42,1751067.06
1620705600,2021-05-11 04:00:00,277.02,280.48,275.36,279.41,5001.12,1386797.39
1620709200,2021-05-11 05:00:00,279.41,281.08,272.7,275.99,3226.49,893275.79
1620712800,2021-05-11 06:00:00,275.99,284.63,275.38,283.72,2594.15,728391.2
1620716400,2021-05-11 07:00:00,283.72,284.44,278.74,282,1810.38,509271.86
1620720000,2021-05-11 08:00:00,282.1,280.39,274.64,278.34,13034.47,3628066.99
1620723600,2021-05-11 09:00:00,278.34,286.61,281.29,286.38,12845.32,3678702.12
1620727200,2021-05-11 10:00:00,286.38,286.69,283.39,285.12,8597.73,2451387.1
1620730800,2021-05-11 11:00:00,285.12,284.16,280.23,280.73,8840.6,2481823.67
1620734400,2021-05-11 12:00:00,280.73,284.47,278.09,281.64,16738.82,4714326.92
1620738000,2021-05-11 13:00:00,281.64,288.81,283.57,287.25,12327.07,3540926.64
1620741600,2021-05-11 14:00:00,286.94,287.79,283.63,287.65,5052.38,1442441.46
1620745200,2021-05-11 15:00:00,287.15,291.84,288.92,289.71,13620.09,3945846.23
1620748800,2021-05-11 16:00:00,289.71,292.61,284.71,292.56,22236.53,6505490.55
1620752400,2021-05-11 17:00:00,292.56,295.53,293.16,294.52,11793.88,3473521.13
1620756000,2021-05-11 18:00:00,294.52,295.92,291.13,294.34,10960.35,3226122.32
