timestamp,datetime,open,high,low,close,volume_from,volume_to
1582246800,2020-02-21 01:00:00,60.73,62.33,60.21,61.8,19378.82,1197698.97
1582250400,2020-02-21 02:00:00,61.8,63.15,61.7,62.42,29486.06,1840517.35
1582254000,2020-02-21 03:00:00,62.42,63.29,61.94,62.5,17953.72,1122159.55
1582257600,2020-02-21 04:00:00,62.5,63.16,61.68,62.09,34815.68,2161639.82
1582261200,2020-02-21 05:00:00,62.09,62.5,61.51,61.77,18969.78,1171772.75
1582264800,2020-02-21 06:00:00,61.77,62.55,61.32,61.61,16663.46,1026650.16
1582268400,2020-02-21 07:00:00,61.61,62.32,61.13,61.58,11242.16,692331.66
1582272000,2020-02-21 08:00:00,61.58,62.06,60.95,61.1,16003.16,977857.52
1582275600,2020-02-21 09:00:00,61.1,62.32,60.87,62.27,23031.31,1434171.87
1582279200,2020-02-21 10:00:00,62.27,62.7,61.58,61.76,11576.35,714942.58
1582282800,2020-02-21 11:00:00,61.76,62.8,61.62,61.95,25905.15,1604827.97
1582286400,2020-02-21 12:00:00,61.95,63.68,61.88,62.55,30222.62,1890428.69
1582290000,2020-02-21 13:00:00,62.55,63.51,62,62.31,36365.62,2265937.63
1582293600,2020-02-21 14:00:00,62.31,63.06,61.57,62.27,15710.93,978360.95
1582297200,2020-02-21 15:00:00,62.27,63.37,62.01,62.24,29326.3,1825366.71
1582300800,2020-02-21 16:00:00,62.24,64.09,62.1,63.44,30269.07,1920257.78
1582304400,2020-02-21 17:00:00,63.44,63.83,62.05,62.35,16029.05,999454.14
1582308000,2020-02-21 18:00:00,62.35,63.1,61.84,62.07,12783.09,793409.86
1582311600,2020-02-21 19:00:00,62.07,62.4,61.19,61.6,12982.18,799722.9
1582315200,2020-02-21 20:00:00,61.6,62.63,61.2,61.98,21570.63,1336918.25
1582318800,2020-02-21 21:00:00,61.98,62.06,61.13,61.95,10345.96,640898.87
1582322400,2020-02-21 22:00:00,61.95,62.1,60.93,61.38,9590.43,588653.35
1582326000,2020-02-21 23:00:00,61.38,62.5,61.15,61.69,18153.69,1119866.42
1582329600,2020-02-22 00:00:00,61.69,62.68,61.27,62.15,10429.44,648228.6
1582333200,2020-02-22 01:00:00,62.15,62.31,61.06,61.71,15285.84,943342.53
