timestamp,datetime,open,high,low,close,volume_from,volume_to
1584108000,2020-03-13 14:00:00,28.11,27.4,26.77,27.08,57350.6,1553095.31
1584111600,2020-03-13 15:00:00,27.08,26.43,25.18,25.8,90048.41,2323518.15
1584115200,2020-03-13 16:00:00,25.8,26.09,25.23,25.75,74701.05,1923277.31
1584118800,2020-03-13 17:00:00,25.75,26.07,25.07,25.5,41449.41,1057040.66
1584122400,2020-03-13 18:00:00,25.5,24.89,24.21,24.78,56641.88,1403771.5
1584126000,2020-03-13 19:00:00,24.78,26.9,26.12,26.56,55644.7,1477997.97
1584129600,2020-03-13 20:00:00,26.56,27.22,26.28,27.11,46638.04,1264302.65
1584133200,2020-03-13 21:00:00,27.11,27.88,27.16,27.38,30076.68,823487.31
1584136800,2020-03-13 22:00:00,27.38,28.42,27.61,28.26,18092.2,511359.44
1584140400,2020-03-13 23:00:00,28.26,28.31,27.53,27.55,31425.13,865729.3
1584144000,2020-03-14 00:00:00,27.55,27.53,26.82,27.06,16527.41,447234.46
1584147600,2020-03-14 01:00:00,27.06,27.58,26.72,27.34,37295.31,1019508.94
1584151200,2020-03-14 02:00:00,27.34,28.03,27.31,27.65,42017.53,1161947.48
1584154800,2020-03-14 03:00:00,27.65,27.86,26.8,27.16,31666.95,860174.96
1584158400,2020-03-14 04:00:00,27.16,27.41,26.64,26.72,28784.36,768997.61
1584162000,2020-03-14 05:00:00,26.72,27.24,26.28,26.7,30263.04,807904.18
1584165600,2020-03-14 06:00:00,26.7,27.16,26.5,26.7,19589.56,523136.08
1584169200,2020-03-14 07:00:00,26.7,27.4,26.53,26.71,30543.55,815773.68
1584172800,2020-03-14 08:00:00,26.71,26.4,25.58,25.84,36938.22,954556.11
1584176400,2020-03-14 09:00:00,25.84,25.73,25.03,25.37,27574.54,699660.09
1584180000,2020-03-14 10:00:00,25.37,26.69,25.97,26.53,27084.01,718574.37
1584183600,2020-03-14 11:00:00,26.53,27.18,26.11,26.33,28773.66,757482.04
1584187200,2020-03-14 12:00:00,26.33,26.71,25.99,26.32,18310.01,481912.8
1584190800,2020-03-14 13:00:00,26.32,25.96,25.41,25.59,16902.48,432534.74
1584194400,2020-03-14 14:00:00,25.59,26.38,25.76,26.03,16403.05,426894.06
1584198000,2020-03-14 15:00:00,26.03,26.19,25.52,25.81,20367.08,525586.37
1584201600,2020-03-14 16:00:00,25.81,26.65,26.07,26.36,24480.71,645220.61
1584205200,2020-03-14 17:00:00,26.36,26.68,25.99,26.34,15360.53,404565.14
1584208800,2020-03-14 18:00:00,26.34,26.8,26.06,26.12,15978.45,417406.98
1584212400,2020-03-14 19:00:00,26.12,26.3,25.72,26.08,12858.22,335298.51
1584216000,2020-03-14 20:00:00,26.08,26.06,25.53,25.95,16649.25,432003.08
1584219600,2020-03-14 21:00:00,25.95,25.92,25.37,25.55,9893.64,252754.91
1584223200,2020-03-14 22:00:00,25.55,25.77,25.23,25.53,13618.66,347668.59
1584226800,2020-03-14 23:00:00,25.53,25.52,24.82,25.12,24238.34,608771.1
1584230400,2020-03-15 00:00:00,25.12,25.47,24.87,25.08,20615.58,517020.88
1584234000,2020-03-15 01:00:00,25.08,25.13,24.56,24.7,19054.68,470559.99
1584237600,2020-03-15 02:00:00,24.7,25.24,24.75,24.96,15348.61,383123.24
1584241200,2020-03-15 03:00:00,24.96,25.36,24.74,24.81,9729.37,241355.89
1584244800,2020-03-15 04:00:00,24.81,25.63,25.14,25.4,12073.96,306734.5
1584248400,2020-03-15 05:00:00,25.4,25.87,25.11,25.62,13081.94,335208.85
1584252000,2020-03-15 06:00:00,25.62,26.15,25.61,25.99,12160.96,316036.57
1584255600,2020-03-15 07:00:00,25.99,25.96,25.34,25.79,12198.27,314546.97
1584259200,2020-03-15 08:00:00,25.79,25.77,25.26,25.58,9371.56,239691.94
1584262800,2020-03-15 09:00:00,25.58,25.7,25.19,25.49,11398.45,290536.93
1584266400,2020-03-15 10:00:00,25.49,26.59,25.86,26.05,39336.52,1024559.76
1584270000,2020-03-15 11:00:00,26.05,26.59,25.69,25.97,20257.42,526102.97
1584273600,2020-03-15 12:00:00,25.97,25.74,25.09,25.37,40617.5,1030398.5
1584277200,2020-03-15 13:00:00,25.37,26.09,25.46,25.63,13454.26,344810.28
1584280800,2020-03-15 14:00:00,25.63,25.96,25.34,25.41,20963.2,532614.25
1584284400,2020-03-15 15:00:00,25.41,25.82,25.34,25.48,12509.03,318707.88
1584288000,2020-03-15 16:00:00,25.48,25.77,25.21,25.39,13001.34,330045.48
1584291600,2020-03-15 17:00:00,25.39,25.86,25.21,25.39,9328.75,236816.59
1584295200,2020-03-15 18:00:00,25.39,25.75,25.22,25.27,8488.56,214482.88
1584298800,2020-03-15 19:00:00,25.27,25.83,25.28,25.33,8643.14,218948.2
1584302400,2020-03-15 20:00:00,25.33,25.13,24.54,24.83,13133.78,326160.24
1584306000,2020-03-15 21:00:00,24.83,28.7,26.94,27.02,38991.61,1053648.7
1584309600,2020-03-15 22:00:00,27.02,26.55,24.34,26.22,71813.22,1883242.83
1584313200,2020-03-15 23:00:00,26.22,26.42,25.48,25.65,20188.3,517818.02
1584316800,2020-03-16 00:00:00,25.65,25.67,25.04,25.15,21048.83,529300.83
1584320400,2020-03-16 01:00:00,25.15,26.14,25.3,25.58,15359.93,392876.59
1584324000,2020-03-16 02:00:00,25.58,26.54,25.71,26.07,20103.55,524111.86
1584327600,2020-03-16 03:00:00,26.07,26.16,25.44,25.58,16209.36,414621.53
1584331200,2020-03-16 04:00:00,25.58,25.77,25.17,25.47,16617.01,423307.82
1584334800,2020-03-16 05:00:00,25.47,25.19,24.6,24.8,29943.29,742742.44
1584338400,2020-03-16 06:00:00,24.8,24.46,23.75,24.13,39044.84,942179.07
1584342000,2020-03-16 07:00:00,24.13,23.17,22.19,22.47,49040.02,1102093.33
1584345600,2020-03-16 08:00:00,22.47,23.39,22.63,23.06,35491.01,818474.56
1584349200,2020-03-16 09:00:00,23.06,23.19,22.45,22.8,20344.79,463782.91
1584352800,2020-03-16 10:00:00,22.8,21.88,20.81,21.44,49601.08,1063300.34
1584356400,2020-03-16 11:00:00,21.44,22.28,21.42,21.55,40499.45,872873.12
1584360000,2020-03-16 12:00:00,21.55,23.35,22.4,22.49,58520.61,1316228.19
1584363600,2020-03-16 13:00:00,22.49,23.74,22.77,23.08,55410.98,1278696.53
1584367200,2020-03-16 14:00:00,23.08,23.96,23.12,23.57,55733.15,1313767.3
1584370800,2020-03-16 15:00:00,23.57,24.82,24.09,24.32,32574.4,792316.67
1584374400,2020-03-16 16:00:00,24.32,24.09,23.32,23.9,29374.98,702039.51
1584378000,2020-03-16 17:00:00,23.9,24.5,23.73,23.9,19057.6,455381.63
1584381600,2020-03-16 18:00:00,23.9,25.02,23.97,24.67,21847.72,539017.48
1584385200,2020-03-16 19:00:00,24.67,24.33,23.46,23.55,37442.55,881928.13
1584388800,2020-03-16 20:00:00,23.55,24.66,23.34,23.85,42637.79,1016758.46
1584392400,2020-03-16 21:00:00,23.85,24.62,23.82,24.16,18313.82,442401
1584396000,2020-03-16 22:00:00,24.16,24.91,23.62,23.84,40247.97,959518.5
1584399600,2020-03-16 23:00:00,23.84,25,24.17,24.62,44864.71,1104777.56
1584403200,2020-03-17 00:00:00,24.62,25.35,24.3,24.47,38655.92,945978.71
